RFID	number of trips
61 64 22 06 08 00 12 E0	5
62 5F 22 06 08 00 12 E0	8
63 5F 22 06 08 00 12 E0	23
63 62 22 06 08 00 12 E0	1
63 67 22 06 08 00 12 E0	3
64 62 22 06 08 00 12 E0	53
64 64 22 06 08 00 12 E0	36
65 62 22 06 08 00 12 E0	7
65 64 22 06 08 00 12 E0	56
66 64 22 06 08 00 12 E0	57
66 67 22 06 08 00 12 E0	18
67 62 22 06 08 00 12 E0	32
67 64 22 06 08 00 12 E0	41
67 67 22 06 08 00 12 E0	61
68 62 22 06 08 00 12 E0	34
68 64 22 06 08 00 12 E0	70
69 62 22 06 08 00 12 E0	16
69 64 22 06 08 00 12 E0	8
6A 64 22 06 08 00 12 E0	14
6D 62 22 06 08 00 12 E0	13
6E 67 22 06 08 00 12 E0	5
6F 67 22 06 08 00 12 E0	7
70 62 22 06 08 00 12 E0	8
70 64 22 06 08 00 12 E0	14
71 62 22 06 08 00 12 E0	7
71 64 22 06 08 00 12 E0	1
71 67 22 06 08 00 12 E0	21
72 5F 22 06 08 00 12 E0	17
72 64 22 06 08 00 12 E0	86
73 5F 22 06 08 00 12 E0	33
73 64 22 06 08 00 12 E0	1
73 67 22 06 08 00 12 E0	25
74 62 22 06 08 00 12 E0	57
74 67 22 06 08 00 12 E0	38
75 62 22 06 08 00 12 E0	64
75 67 22 06 08 00 12 E0	14
76 64 22 06 08 00 12 E0	29
76 67 22 06 08 00 12 E0	4
77 64 22 06 08 00 12 E0	51
77 67 22 06 08 00 12 E0	79
78 64 22 06 08 00 12 E0	115
7C 67 22 06 08 00 12 E0	2
7D 67 22 06 08 00 12 E0	1
7E 64 22 06 08 00 12 E0	7
7E 67 22 06 08 00 12 E0	37
7F 67 22 06 08 00 12 E0	27
80 64 22 06 08 00 12 E0	1
80 67 22 06 08 00 12 E0	52
81 67 22 06 08 00 12 E0	1
82 64 22 06 08 00 12 E0	3
82 67 22 06 08 00 12 E0	33
84 64 22 06 08 00 12 E0	7
85 64 22 06 08 00 12 E0	1
85 67 22 06 08 00 12 E0	8
86 64 22 06 08 00 12 E0	73
87 64 22 06 08 00 12 E0	103
87 67 22 06 08 00 12 E0	12
8D 47 1C 06 08 00 12 E0	38
8D 67 22 06 08 00 12 E0	21
8E 64 22 06 08 00 12 E0	68
90 64 22 06 08 00 12 E0	25
90 67 22 06 08 00 12 E0	22
92 65 22 06 08 00 12 E0	2
92 67 22 06 08 00 12 E0	1
93 64 22 06 08 00 12 E0	67
93 65 22 06 08 00 12 E0	57
94 64 22 06 08 00 12 E0	4
94 65 22 06 08 00 12 E0	60
94 67 22 06 08 00 12 E0	37
95 65 22 06 08 00 12 E0	9
98 64 22 06 08 00 12 E0	1
99 64 22 06 08 00 12 E0	50
9C 67 22 06 08 00 12 E0	19
9D 67 22 06 08 00 12 E0	56
9E 67 22 06 08 00 12 E0	6
A0 64 22 06 08 00 12 E0	43
A0 67 22 06 08 00 12 E0	8
A1 64 22 06 08 00 12 E0	11
A1 67 22 06 08 00 12 E0	1
A2 64 22 06 08 00 12 E0	36
A2 67 22 06 08 00 12 E0	2
A3 65 22 06 08 00 12 E0	39
A3 66 22 06 08 00 12 E0	6
A3 67 22 06 08 00 12 E0	3
A4 66 22 06 08 00 12 E0	17
A4 67 22 06 08 00 12 E0	59
A5 64 22 06 08 00 12 E0	157
A5 66 22 06 08 00 12 E0	2
A5 67 22 06 08 00 12 E0	59
A6 66 22 06 08 00 12 E0	2
A6 67 22 06 08 00 12 E0	2
A7 66 22 06 08 00 12 E0	17
A7 67 22 06 08 00 12 E0	9
A8 64 22 06 08 00 12 E0	64
A8 66 22 06 08 00 12 E0	10
A9 64 22 06 08 00 12 E0	77
A9 66 22 06 08 00 12 E0	18
AB 66 22 06 08 00 12 E0	89
AC 66 22 06 08 00 12 E0	53
AD 66 22 06 08 00 12 E0	26
AE 62 22 06 08 00 12 E0	72
AE 66 22 06 08 00 12 E0	13
AF 62 22 06 08 00 12 E0	10
AF 66 22 06 08 00 12 E0	35
B0 66 22 06 08 00 12 E0	7
B1 66 22 06 08 00 12 E0	8
B2 62 22 06 08 00 12 E0	39
B2 66 22 06 08 00 12 E0	10
B3 62 22 06 08 00 12 E0	50
B3 65 22 06 08 00 12 E0	30
B3 66 22 06 08 00 12 E0	16
B4 66 22 06 08 00 12 E0	46
B5 66 22 06 08 00 12 E0	26
B6 62 22 06 08 00 12 E0	5
B7 62 22 06 08 00 12 E0	40
B7 66 22 06 08 00 12 E0	2
B8 66 22 06 08 00 12 E0	20
BA 62 22 06 08 00 12 E0	1
BA 66 22 06 08 00 12 E0	2
BB 62 22 06 08 00 12 E0	41
BB 66 22 06 08 00 12 E0	29
BC 66 22 06 08 00 12 E0	44
BD 66 22 06 08 00 12 E0	1
BE 66 22 06 08 00 12 E0	2
BF 62 22 06 08 00 12 E0	2
BF 66 22 06 08 00 12 E0	40
C0 62 22 06 08 00 12 E0	7
C1 62 22 06 08 00 12 E0	16
C1 66 22 06 08 00 12 E0	54
C2 66 22 06 08 00 12 E0	1
C4 62 22 06 08 00 12 E0	21
C5 64 22 06 08 00 12 E0	3
C5 66 22 06 08 00 12 E0	13
C6 62 22 06 08 00 12 E0	34
C6 66 22 06 08 00 12 E0	4
C8 62 22 06 08 00 12 E0	6
C9 66 22 06 08 00 12 E0	12
CA 62 22 06 08 00 12 E0	73
CB 52 22 06 08 00 12 E0	2
CB 62 22 06 08 00 12 E0	1
CC 52 22 06 08 00 12 E0	1
CC 62 22 06 08 00 12 E0	8
CC 64 22 06 08 00 12 E0	34
CC 66 22 06 08 00 12 E0	12
CD 52 22 06 08 00 12 E0	5
CD 62 22 06 08 00 12 E0	4
CD 66 22 06 08 00 12 E0	35
CD 67 22 06 08 00 12 E0	17
CE 52 22 06 08 00 12 E0	62
CE 62 22 06 08 00 12 E0	2
CE 67 22 06 08 00 12 E0	9
CF 64 22 06 08 00 12 E0	1
D0 62 22 06 08 00 12 E0	1
D1 62 22 06 08 00 12 E0	30
D1 66 22 06 08 00 12 E0	58
D2 62 22 06 08 00 12 E0	20
D2 64 22 06 08 00 12 E0	82
D2 66 22 06 08 00 12 E0	23
D4 62 22 06 08 00 12 E0	13
D5 67 22 06 08 00 12 E0	6
D6 46 1C 06 08 00 12 E0	54
D6 64 22 06 08 00 12 E0	34
D6 67 22 06 08 00 12 E0	25
D7 62 22 06 08 00 12 E0	65
DA 62 22 06 08 00 12 E0	39
DB 62 22 06 08 00 12 E0	72
DB 64 22 06 08 00 12 E0	39
DC 66 22 06 08 00 12 E0	5
DC 67 22 06 08 00 12 E0	36
DD 52 22 06 08 00 12 E0	61
DD 62 22 06 08 00 12 E0	69
DE 67 22 06 08 00 12 E0	75
E0 64 22 06 08 00 12 E0	23
E0 67 22 06 08 00 12 E0	34
E1 52 22 06 08 00 12 E0	130
E1 64 22 06 08 00 12 E0	6
E1 67 22 06 08 00 12 E0	25
E3 67 22 06 08 00 12 E0	3
E4 64 22 06 08 00 12 E0	34
E5 64 22 06 08 00 12 E0	12
E5 67 22 06 08 00 12 E0	5
E6 64 22 06 08 00 12 E0	9
E6 67 22 06 08 00 12 E0	36
EB 67 22 06 08 00 12 E0	17
EC 64 22 06 08 00 12 E0	31
EC 67 22 06 08 00 12 E0	13
ED 64 22 06 08 00 12 E0	11
ED 67 22 06 08 00 12 E0	19
EF 64 22 06 08 00 12 E0	18
EF 67 22 06 08 00 12 E0	15
F0 64 22 06 08 00 12 E0	3
F0 67 22 06 08 00 12 E0	8
F1 64 22 06 08 00 12 E0	34
F1 67 22 06 08 00 12 E0	19
F2 64 22 06 08 00 12 E0	13
F2 67 22 06 08 00 12 E0	44
F3 64 22 06 08 00 12 E0	44
F3 67 22 06 08 00 12 E0	5
F4 67 22 06 08 00 12 E0	7
F5 64 22 06 08 00 12 E0	21
F5 67 22 06 08 00 12 E0	90
F6 67 22 06 08 00 12 E0	31
F8 66 22 06 08 00 12 E0	9
F9 66 22 06 08 00 12 E0	20
FA 66 22 06 08 00 12 E0	24
FC 52 22 06 08 00 12 E0	47
FD 52 22 06 08 00 12 E0	1
FD 66 22 06 08 00 12 E0	40
FE 52 22 06 08 00 12 E0	62
FE 66 22 06 08 00 12 E0	17
FF 52 22 06 08 00 12 E0	50
